Product ID,Vendor,Material,Description,Quantity,Cost each ($),Cost sum,Part
,`TAP plastics <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_,Polycarbonate,"Sheet, 3/8"", 12 x 21""",1,$33.12 ,$33.12 ,Front panel
,`TAP plastics <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_,Polycarbonate,"Polycarbonate sheet, 3/8"", 12 x 26""",1,$12 ,$12.00 ,Rear door
,`TAP plastics <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_,Polycarbonate,"Polycarbonate sheet, 3/8"", 12 x 8""",1,$12 ,$12.00 ,Rear panel
,`TAP plastics <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_,Polycarbonate,"Polycarbonate sheet, 3/8"", 12 x 26""",1,$12 ,$12.00 ,Neck plate A
,`TAP plastics <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_,Polycarbonate,"Polycarbonate sheet, 3/8"", 12 x 26""",1,$12 ,$12.00 ,Neck plate B
,`TAP plastics <https://www.tapplastics.com/product/plastics/cut_to_size_plastic/polycarbonate_sheets/516>`_,Polycarbonate,"Polycarbonate sheet, 3/8"", 12 x 26""",1,$12 ,$12.00 ,Neck plate C
,`Midwest Steel <https://www.midweststeelsupply.com/store/5052aluminumplate>`_,Aluminium 5052,"Aluminium 5052 sheet, 3/8"", 16 x 16""",1,$37.24 ,$37.24 ,Base panel
,`Midwest Steel <https://www.midweststeelsupply.com/store/5052aluminumplate>`_,Aluminium 5052,"Aluminium 5052 sheet, 3/8"", 11 x 26""",2,$48.70 ,$97.40 ,Side panels
,`Midwest Steel <https://www.midweststeelsupply.com/store/5052aluminumplate>`_,Aluminium 5052,"Aluminium 5052 sheet, 3/8"", 12 x 10""",1,$21.95 ,$21.95 ,Seat
`1605A77 <https://www.mcmaster.com/1605A77-1605A32/>`_,McMaster-Carr,Stainless steel (316),"Piano hinge, 2"" wide, 3ft long",1,$40.38 ,$40.38 ,Rear door
`1794A55 <https://www.mcmaster.com/1794A55/>`_,McMaster-Carr,Stainless steel (304),Tight-hold draw latches,2,$11.18 ,$22.36 ,Rear door
`1726A92 <https://www.mcmaster.com/1726A92/>`_,McMaster-Carr,Stainless steel (316),"Stainless Steel, 5"" pull handles",2,$10.06 ,$20.12 ,Handles
`91185A819 <https://www.mcmaster.com/91185A819/>`_,McMaster-Carr,18-8 Stainless steel,Plastic grip thumb screws,5,1.75,$8.75 ,Seat adjustment
,McMaster-Carr,,Bolts,,,$0.00 ,
,McMaster-Carr,Aluminium 5086,"5086 Aluminum 2x2"" corner bracket, 11"" long",2,$28.73 ,$57.46 ,base brackets
,McMaster-Carr,Aluminium 5086,"5086 Aluminum 1x1"" corner bracket, 14"" long",2,$18.41 ,$36.82 ,front brackets
,McMaster-Carr,Aluminium 5086,"5086 Aluminum 1x1"" corner bracket, 14"" long",2,$18.41 ,$36.82 ,top brackets
`23085T24 <https://www.mcmaster.com/23085T24/>`_,McMaster-Carr,Rubber + Steel,"5"" square stem casters",2,$24.25 ,$48.50 ,Wheels
`23085T34 <https://www.mcmaster.com/23085T34/>`_,McMaster-Carr,Rubber + Steel,"5"" square stem casters with brakes",2,$35.86 ,$71.72 ,Wheels
`98164A209 <https://www.mcmaster.com/98164A209/>`_,McMaster-Carr,Stainless steel,"1/4""-20 bolts, 3/8""",80,,$0.00 ,Fasteners
,8020,Anodized aluminium,"1010: t-slot profile, 14.5""",4,$5.29 ,$21.16 ,Frame struts
,8020,Anodized aluminium,"1010: t-slot profile, 16"" long",4,$5.63 ,$22.52 ,Frame struts
,8020,Anodized aluminium,"1010: t-slot profile, 15.5"" long",4,$5.51 ,$22.04 ,Frame struts
,8020,Anodized aluminium,4119: 2-hole inside corner bracket,8,$2.90 ,$23.20 ,Fasteners
,8020,Anodized aluminium,4151: 5-hole corner plate,8,$6.30 ,$50.40 ,Fasteners
,8020,Anodized aluminium,10 series t-slot nuts,80,$0.21 ,$16.80 ,Fasteners
,,,,,**TOTAL =**,$731.96 ,