Item,Source,Details,Lab location
Electrode chamber(s),Stratasys Direct,,
Low-profile chamber cap(s),Stratasys Direct,,
Nylon screws,McMaster-Carr," 4-40, Philips head",
Screwdriver,,"Phillips head, #4",
Ceramic screws,Thomas Recording,,
Ground pins,NIMH SI,,
Copper wire,,Shoul dbe pre-coiled,
Dental cement,BioMet,Cobalt HV,
Hemostatic gel,Vista Dental,`Quick-Stat FS <https://www.henryschein.com/us-en/dental/p/crown-bridge/retraction-materials/quick-stat-fs-standard-kit/1071130>`_,
High vacuum grease,Dupont (Dow Corning),`Molykote (976V) <https://www.dupont.com/products/molykote-high-vacuum-grease.html>`_,
Dual-cure resin,DenMat,`Geristore <https://www.denmat.com/products/restorative/ionomers.html>`_,